gender,age,height,weight
1,22,172,75.4
1,23,172,72.5
1,18,178,74.3
1,24,179,77.5
0,21,173,73.4
0,23,166,68.5
0,21,172,73.2
1,25,172,73.9
0,18,159,68.6
1,24,179,71.8
1,19,164,65.4
0,23,160,65.2
1,22,180,78.9
0,22,158,59
1,20,171,70.2
0,23,162,67.4
0,24,156,61.1
1,20,189,87.1
0,28,166,66.2
1,21,172,72.7
1,22,180,78.5
1,21,184,84.3
0,19,148,64.8
0,22,161,61.1
0,28,164,68.1
1,19,185,88.9
1,20,171,75.6
1,19,175,78.9
0,19,156,60.4
0,21,162,68.6
0,20,168,63.3
0,37,160,68.1
1,20,171,73.1
1,43,180,76.8
0,22,172,71.9
0,57,156,61.6
1,21,172,72
1,22,187,88.1
1,21,177,76.1
0,22,163,69.7
1,18,190,91.4
1,20,177,73.9
0,19,164,65.2
0,25,155,60.6
0,21,150,62.3
0,19,152,61.1
0,22,176,74.9
0,19,164,71.4
0,22,155,66.5
0,19,181,82.1
0,19,156,66.9
1,22,168,66.3
1,21,192,94.1
1,19,184,81.4
1,22,188,85.7
1,19,178,75.7
0,21,152,59.4
0,24,156,66.7
0,22,172,69.4
0,24,161,67.1
1,19,177,72.8
1,22,180,78
1,21,164,66
1,20,169,65.3
0,19,158,62.3
0,20,146,59.7
1,22,173,70.1
1,19,166,65.7
0,21,165,62.2
0,19,167,71
0,20,143,58.7
1,19,182,80.2
0,22,161,65.7
0,19,174,74.2
1,21,189,89.7
0,23,161,68.9
1,22,176,73.9
0,21,152,63.6
1,24,175,71
1,20,165,69.3
1,22,174,74.9
0,21,162,65.3
1,24,160,63
1,25,170,71.5
1,24,197,99.9
0,50,149,62.5
0,20,165,69.7
0,21,159,58.9
1,21,178,78.2
1,19,180,81.7
1,20,169,71.8
1,19,169,72.5
1,25,172,68
0,24,170,72.3
1,21,179,80.2
1,43,173,76.1
0,48,159,69.9
0,21,169,69.2
1,21,183,77
1,21,182,83
1,23,170,70.8
0,21,151,61.8
1,22,184,78.8
1,20,183,83.6
0,23,166,65.4
0,21,168,68.1
0,20,164,64.6
0,21,168,69.6
0,24,170,67.4
0,23,157,62.3
1,21,165,69.9
0,22,165,68.4
1,20,173,70.3
0,21,170,73.4
1,24,180,78.2
0,20,162,64.1
0,19,163,68.1
1,23,188,85.6
1,22,180,79.9
1,21,191,90.4
0,21,155,64.5
1,23,172,74.2
1,18,172,75.5
1,20,177,75.5
1,21,177,77.2
0,21,144,55
1,22,178,80.5
0,26,161,67.5
1,24,183,83
1,20,168,70.7
0,20,181,77.6
1,18,186,84.2
1,23,169,70.1
1,21,171,73.2
1,21,182,81.2
0,21,152,60.1
1,23,175,74
0,21,157,65.8
1,23,189,88.5
1,19,157,65.3
1,20,181,81.4
0,20,173,72.5
1,22,174,73.6
1,20,183,88.4
0,20,154,61.4
1,25,163,65.4
1,23,176,73.3
0,22,157,63.3
1,20,168,74.1
1,21,191,89.8
1,18,182,79
0,19,173,72.7
1,20,176,71.6
1,22,170,65.8
1,18,187,84.4
0,20,150,57.6
0,22,167,71.2
0,24,163,69.2
1,22,175,74.3
0,21,157,59.1
0,19,164,71.1
1,35,179,78.7
1,60,180,77.9
1,21,192,88.6
1,19,175,74.7
1,20,186,84.4
1,20,175,75.1
0,25,159,62.5
0,20,163,68.8
0,21,158,62.3
0,21,160,63.7
1,21,178,75.4
1,23,182,82.7
1,21,181,79.5
0,21,166,71.3
0,21,154,63.4
1,19,177,75.3
1,39,174,73
1,20,183,80
1,22,181,76.8
1,21,186,83.4
1,20,183,80.6
1,24,180,77.2
0,20,169,68.6
0,21,163,66.6
1,19,180,77.6
0,21,173,71.8
0,19,161,65.4
0,21,170,68.9
1,23,174,71.1
1,22,188,87.9
1,21,175,75.7
0,20,162,63.3
0,22,169,67.4
1,20,174,68.4
0,23,174,75.8
1,20,178,73.3
0,23,163,67.9
0,20,166,67.7
1,55,188,85
0,23,168,70.7
1,21,176,75.3
0,19,171,71
1,27,166,65.8
0,19,166,70.8
0,43,178,78.6
1,23,173,71.8
0,21,156,64
1,47,178,79.4
0,21,163,66.2
1,19,186,82
0,22,163,60.8
1,19,172,71.6
1,22,182,81.2
1,23,186,81.7
1,23,181,82.9
1,19,171,71.5
0,19,166,69.8
1,22,180,73.8
0,21,174,74.4
1,22,183,83.8
1,22,172,73
1,39,186,81.8
1,53,177,79.6
1,20,180,83.7
1,24,182,77.6
1,21,171,69.4
1,19,180,77.3
1,23,171,68.2
1,21,182,80.4
1,21,186,81.6
0,61,168,65.5
1,22,173,71.2
0,22,152,66
1,19,188,84.7
0,22,174,70.3
1,19,186,80.3
0,21,166,65
1,20,155,61.7
1,22,171,72.4
0,23,181,76.6
0,24,158,65.1
1,19,180,79.1
1,22,181,73
0,22,165,72.2
0,20,152,59.8
0,24,158,64.8
1,20,154,63.5
1,19,180,82.5
1,19,180,77.5
0,21,162,67.1
0,20,165,64.2
0,22,155,62.8
0,24,167,64.4
1,22,176,74.1
0,23,165,65
1,25,182,84.6
0,22,149,62.4
1,22,188,89.1
1,22,160,67.7
1,22,159,63
1,20,166,70.5
0,23,167,68.3
1,23,187,82.5
0,19,154,61.5
0,21,172,70.6
1,22,183,79.7
0,21,177,77.7
0,22,171,70.3
0,50,177,76
1,27,182,82.1
1,25,182,83.9
0,21,159,60.7
1,19,173,72.7
1,21,196,94.5
0,22,163,67.1
0,22,167,68.5
0,21,162,67.1
0,55,171,66.3
1,24,182,83.5
1,26,180,82.2
1,22,188,89.7
0,19,164,65.5
1,20,181,78.5
0,22,161,65
0,52,165,66.1
1,19,188,88.9
0,20,157,67.3
0,20,179,74.6
1,23,172,67
0,18,162,64
0,18,155,62
1,21,188,88.2
1,22,179,77.8
1,55,172,69
1,21,190,86
0,21,158,62
0,22,165,70.6
1,19,185,88
0,19,165,68.6
1,21,186,88
0,22,156,64.6
0,22,163,65.2
1,21,182,81.6
0,25,172,71.6
1,20,174,73.7
1,19,170,65.3
1,19,174,75.2
0,20,170,74.5
1,50,188,82.3
1,21,165,65.3
0,18,160,64.7
1,20,169,67.8
1,22,181,81
1,25,180,80.5
1,19,174,75.5
1,18,175,72.1
1,19,190,90
0,21,168,69.4
0,23,157,66
1,19,184,77.6
1,22,183,86.5
0,21,155,65.6
0,34,167,70.4
0,22,162,66.4
0,22,165,68.6
1,23,180,74.2
1,20,171,73.4
0,20,165,68.6
1,19,181,81.4
0,24,164,70.6
1,22,167,68.6
0,21,169,72.5
1,22,178,74
0,25,160,67.7
1,21,200,101.2
0,21,167,67.6
0,20,160,63.2
0,20,170,73
1,20,174,71.9
1,21,182,81.9
1,18,171,72.4
0,20,165,68
0,21,150,64.2
1,20,193,93.2
0,21,173,74.6
1,20,169,70.7
1,24,167,66.9
0,19,165,62.9
0,21,161,68.3
0,20,174,73.2
0,20,170,67.8
1,20,166,65.6
1,22,174,73.7
1,18,179,80.4
1,20,197,96.9
0,19,166,65.2
1,21,178,74
0,21,173,78.3
1,21,173,72.5
1,18,184,85
0,24,155,60.4
0,23,168,67.6
0,18,174,68.9
0,21,149,60.3
0,19,161,62.6
1,19,170,71.3
0,22,172,65.4
1,23,175,78.3
0,19,166,70.1
1,23,173,72.8
1,28,178,77.7
0,22,165,72.3
0,21,155,62.7
1,24,171,73.4
1,21,188,85.2
1,60,186,86.5
0,21,157,62.4
1,22,176,73.5
0,22,169,70
0,20,158,66.1
0,22,170,68
0,21,148,66.8
1,22,192,93.1
1,24,174,73.8
1,22,183,77.9
1,18,169,68.9
0,23,193,92.5
0,26,154,62.1
1,18,187,85.8
0,21,156,64.4
1,19,175,75.1
1,19,181,82.5
1,23,164,66.5
0,22,164,65
0,20,167,68.9
0,22,164,67.5
1,21,189,88
0,21,154,65.7
0,22,163,66.2
1,22,186,86
1,20,190,93.3
1,22,193,91.7
0,21,156,64
0,22,166,70
1,21,178,76.8
1,22,170,68.8
1,20,174,73.9
1,21,166,71.8
1,42,176,73.1
0,23,167,69.5
0,20,168,73.2
0,21,172,72.3
1,23,168,69.3
0,20,153,59.8
0,19,167,70.7
1,23,183,85.6
1,24,183,83.3
0,22,159,61
0,22,178,80.2
1,18,164,64.4
0,22,164,65.9
0,20,162,63
0,22,158,63.6
1,20,188,86.7
1,44,164,66.4
0,18,161,63.7
0,20,159,62.7
1,19,186,82.4
0,22,169,70.8
0,23,174,74.1
1,22,174,68.7
0,19,167,63.5
0,47,161,67.2
1,21,187,88.2
0,24,164,69.6
1,49,162,66.3
0,19,177,74.8
0,22,160,66.5
1,20,187,86.4
0,60,176,70.2
0,22,166,68.8
0,23,171,68.8
0,21,179,75.7
0,21,167,66.4
0,25,139,57.8
0,20,186,85
1,22,173,75.9
1,21,196,96.6
0,22,159,66.5
1,21,173,73.8
0,21,175,74.3
0,21,169,71.2
0,21,153,58.9
0,21,168,69.6
1,21,167,71.4
1,20,197,99.4
0,22,170,73.4
1,22,175,73.1
0,21,160,68.7
0,19,158,67.4
0,22,165,65.6
1,21,165,70.9
0,20,164,64.3
1,21,177,75
1,23,167,68.4
1,21,188,86.1
1,23,176,75.5
0,21,172,72.7
1,22,179,77.3
1,21,178,74.4
0,19,166,63
0,21,157,66.3
1,19,174,78.7
0,21,170,73.4
1,22,174,75.2
1,20,171,69.3
1,21,179,74.4
1,24,173,75.3
0,20,172,74.6
1,19,184,81.6
1,20,175,76.7
0,21,174,70.6
0,27,174,74
1,22,187,83.6
0,24,153,60
0,20,167,65.7
1,24,187,91
1,19,188,89.2
1,25,180,76.3
1,19,189,90.8
1,22,190,89.8
1,21,175,74.6
0,19,164,64.9
0,19,151,62.3
0,24,167,69.7
1,22,179,78.8
0,21,168,71.8
0,20,179,77.8
0,21,168,66.5
0,21,162,66.1
0,19,163,65.3
1,19,168,71.4
0,19,172,70.7
0,22,166,64.8
1,19,176,76.3
0,20,159,66.6
1,21,176,74.9
0,19,169,69.3
1,20,173,70.9
0,22,162,68.7
0,22,170,73.2
0,20,158,65.7
1,20,178,78.4
1,24,183,81.8
1,21,166,69.6
1,21,182,83.8
1,21,182,79.9
0,19,177,72.2
1,20,182,81.3
1,20,184,82.7
1,21,177,79.2
1,23,186,89.6
0,20,165,68.8
0,19,160,62.8
1,19,190,90.4
0,24,165,68
0,21,166,65.2
0,20,154,60.3
1,22,174,73
1,20,181,78
0,21,177,77
0,19,167,70.8
1,18,184,84.8
0,23,167,71.7
0,22,177,78.2
1,20,174,75
0,20,154,60.9
1,25,166,65.3
0,21,168,70.7
0,22,172,71.7
1,20,189,87.2
0,20,154,60.4
0,21,168,70.8
1,20,176,71.6
1,25,183,79.4
0,19,168,68.5
0,19,143,59.5
1,31,166,64.8
1,24,184,86.2
0,20,149,58.5
1,23,191,91.1
0,20,167,70.7
0,25,158,61.3
1,23,171,67.2
1,20,175,74.5
1,19,199,102.5
1,20,192,88.6
1,21,149,56.9
1,41,187,86.4
1,25,182,83.9
0,22,169,71.5
0,20,157,63.6
0,19,182,79
0,32,165,65.1
1,18,182,82.1
0,22,160,67.6
0,23,168,69
1,23,186,91
1,21,182,82.8
0,22,184,83.9
0,23,170,69.7
1,19,179,80.7
0,22,172,71.8
0,20,173,65.6
1,19,192,90.3
0,22,164,70.6
1,33,179,77
1,22,192,88
0,42,160,61.9
1,19,192,92.8
1,19,183,84
1,19,184,82.6
0,23,168,64.1
1,22,178,76
1,23,173,73.1
0,20,176,77.7
0,25,151,63.6
1,24,178,79.7
0,21,169,68.3
0,22,160,64.1
1,19,176,80.9
1,23,172,76.5
1,22,173,72.9
0,22,165,65.3
0,24,169,71
1,22,182,82.1
0,23,152,65.1
1,20,170,73.4
1,23,188,82.4
1,21,178,81
1,20,172,69.7
1,20,190,90
1,22,181,79.6
0,20,173,70.7
1,21,183,77.6
1,21,169,70.7
0,19,157,62.6
0,21,177,77.7
1,24,181,80.4
0,21,158,59.3
1,22,180,83.1
0,18,160,66.2
1,21,182,82.2
0,19,167,66.8
0,25,176,77.9
0,20,147,59.4
0,19,166,65.8
0,22,160,63
0,26,162,66.3
1,21,168,65.4
1,22,176,77.4
1,20,171,73.6
0,20,149,57
0,21,169,72.2
1,20,168,69.6
1,22,174,72.8
0,42,161,70.1
0,20,165,68.4
0,20,163,66.9
0,19,157,61.9
1,23,170,72.1
1,24,187,84
1,22,195,95.3
0,23,152,57.2
0,20,167,70.2
0,22,152,61.9
1,19,178,72.2
1,21,182,79.3
0,22,162,66.3
0,24,163,66.4
1,19,188,88
1,24,184,87
1,21,178,73.8
1,21,190,86.8
0,22,170,70.6
0,24,164,62.2
0,22,155,65.6
0,21,161,65.8
0,21,167,64.7
0,21,178,73.1
0,19,168,67.4
0,21,155,63
0,20,161,65.7
0,21,162,67.4
1,21,172,68.9
1,52,169,68
1,19,187,82.1
0,19,159,61.5
1,23,192,89.6
0,23,165,68.8
1,23,178,75.4
1,22,181,78.5
1,20,186,88.4
1,22,182,81.2
0,20,155,62
1,23,184,82.5
0,23,156,60.8
0,19,171,72
0,24,160,61.7
1,23,180,80.4
0,22,169,72.3
1,19,183,86.8
1,21,184,83.9
0,21,167,69.4
1,21,177,75.1
1,20,185,84.3
0,20,181,82.7
0,24,168,64.5
1,20,195,95.2
1,23,178,77.1
1,19,183,80.5
0,19,176,73.9
1,26,175,73.4
0,21,162,65.3
0,20,163,63.1
0,21,151,61.2
0,21,184,81.3
0,21,163,67.3
1,20,181,81.2
1,20,174,77.2
0,22,156,60
0,20,164,69.2
1,24,169,67.1
1,58,188,88.1
0,47,166,63.4
1,18,174,69.1
0,20,165,69
0,21,165,67.1
0,20,170,77.2
0,20,172,71.6
1,20,182,85.5
1,19,181,79
0,20,156,59.7
1,20,180,76
0,21,165,65.8
0,20,152,59.6
1,22,169,70
1,21,186,83.4
1,19,174,75.2
0,21,168,68.4
1,21,183,83.6
1,21,193,89.3
0,23,157,61.9
0,19,166,64.4
1,23,171,73.6
1,23,184,86.3
1,22,189,91.5
1,19,189,86.5
0,19,169,72.9
0,38,154,64.2
0,20,177,76.7
0,21,165,71.2
1,19,163,68.7
1,22,177,77.4
1,63,176,73.5
1,19,196,99.1
1,20,186,87.8
0,22,167,70.8
1,20,174,71
1,19,184,81.9
0,21,153,59.3
1,24,183,79.5
0,19,161,66.2
1,20,178,78.1
1,21,180,77
1,18,194,92.7
1,21,180,78.2
1,20,175,69.7
1,20,186,87
0,51,158,66.6
1,23,185,80.8
1,22,174,73
1,22,182,78.3
1,19,181,80.9
1,22,178,78.2
0,21,149,56.5
1,23,169,66.2
1,20,185,81.4
1,22,187,90.4
0,25,159,63.2
0,21,163,68.1
0,21,148,61.6
0,22,161,64.1
1,18,189,88.4
0,22,167,67.6
1,20,187,85.7
0,24,158,60.8
1,19,185,83.5
1,20,180,77.6
0,21,165,69
1,20,185,84.1
0,21,167,67.8
1,33,190,88.6
0,22,164,73.9
0,21,182,78.2
0,23,154,62
1,54,174,72.4
1,18,192,92.2
0,21,169,68.6
0,21,163,69.8
0,20,153,62.6
1,22,174,78.2
0,24,160,65.8
0,19,161,69
0,24,152,59
1,23,179,78.7
0,21,172,67.8
1,31,175,71.6
0,23,166,66.7
1,20,160,65.2
0,20,165,66.9
0,24,152,62.4
0,21,166,67.9
1,20,176,74.1
0,24,178,77.9
0,21,155,68.3
1,20,174,76.8
0,22,163,63.5
0,20,164,67.4
0,20,167,67.6
0,23,164,68.7
1,26,168,67.8
0,22,144,62.3
1,22,180,82
1,19,176,78.7
0,21,163,66.9
0,20,162,66.9
1,18,203,106.3
1,22,182,82.6
1,20,175,72.6
1,21,186,85.7
1,21,188,90.2
0,22,171,73.1
0,21,164,67.3
1,26,171,70.3
0,21,161,62.3
0,20,168,70.1
0,21,178,78.3
0,20,168,70
0,22,154,59.7
0,22,174,69.2
0,19,166,68.3
0,20,156,60.5
1,23,172,69.8
1,21,175,77.7
1,19,171,73.4
0,23,165,65.7
1,20,175,75.6
1,19,179,73.2
0,20,156,61.6
0,23,165,66.1
1,23,180,77.6
0,19,160,66.2
0,18,160,63.4
0,37,166,67.7
0,19,164,65.8
0,22,154,61.8
1,22,180,79.5
1,21,178,73.8
1,22,170,68.1
1,21,188,84.8
1,20,165,64.3
0,20,167,72.4
1,21,160,64
0,25,158,63.7
1,20,174,77.1
0,20,162,64.1
0,21,170,69.1
1,20,182,74
1,21,167,68.3
1,21,180,78.1
1,26,173,75.9
0,21,174,71
0,50,159,69.4
0,19,162,68
1,21,176,78.8
0,21,164,69.8
0,22,171,71.2
1,22,181,77.6
1,19,187,86.7
1,18,193,92.9
0,25,163,66
0,23,161,68.2
0,26,170,70.6
0,22,149,57
1,22,176,77.1
1,22,179,78.4
0,20,160,66.7
0,21,142,56.4
1,21,176,74.9
1,22,180,79.2
0,21,156,64.5
0,21,166,64.5
1,20,168,68.3
1,20,178,80.6
0,20,165,67.1
1,20,178,74.3
0,22,166,67.8
1,25,183,80.1
1,23,179,78.8
0,22,170,71.3
1,19,173,70.5
1,20,178,76.4
1,18,181,75.9
0,19,158,66.8
0,20,165,67.6
0,21,166,61.4
1,20,174,78.7
0,22,176,75.6
0,19,160,64.2
1,22,165,68.5
1,21,185,83
0,19,168,72.9
0,23,157,63.6
1,20,179,80.6
1,22,178,74
1,19,161,67.5
0,20,162,62.2
1,22,184,86.5
1,19,185,80.8
0,20,171,68.6
0,20,158,63.2
1,22,172,72.8
0,21,157,61.7
0,19,169,67.9
1,22,186,86.9
0,63,154,62.8
0,20,172,73.7
1,20,178,75.9
1,22,188,84.5
1,22,172,73.6
1,22,185,84.3
1,21,171,72
1,21,198,98.4
1,21,184,83.2
0,21,163,68.7
0,19,167,71.1
1,20,181,79.4
0,23,158,64.9
1,20,186,90.1
1,24,164,68.8
1,23,183,80.1
0,19,163,63
0,19,147,58.2
0,23,153,61.6
0,22,163,69.7
0,20,164,70.8
0,19,175,74.1
0,23,148,61.1
0,21,145,60
1,20,180,79.3
1,23,170,68.5
1,26,190,90.2
1,24,186,84.1
1,22,181,78.4
1,52,168,71.2
1,24,175,76.3
0,37,164,71.9
1,22,181,83.7
1,20,175,75.2
0,22,166,67.3
0,22,150,63.8
0,20,162,61.6
0,21,164,68.6
1,22,189,87.8
0,20,155,62.7
0,23,172,73
0,21,158,61.3
1,20,181,79
1,21,181,83.1
1,19,174,76.2
0,22,159,69.5
1,25,182,79.7
1,21,175,71.8
0,21,170,73.1
1,20,189,88
0,20,165,66.6
0,21,159,65.4
0,22,172,71.9
1,34,178,79.5
0,19,154,63.2
1,22,173,73.2
1,20,174,71.6
1,23,173,68.6
0,23,162,69.3
1,20,183,84.1
1,20,183,83.3
1,20,188,89.1
0,20,153,62.7
0,22,172,74.2
0,21,162,67
0,23,169,66.9
0,24,160,66.6
0,21,157,65.3
0,22,171,73.9
1,20,169,69.9
0,21,167,71.6
1,22,186,83.7
1,21,187,84.4
1,22,178,72.6
0,44,160,67.3
1,20,184,80.6
1,23,176,73
0,19,166,65.5
1,23,179,78.9
1,21,175,72.8
1,20,191,93
0,20,171,69.8
1,20,167,67.3
0,20,167,69
0,19,154,63.1
0,19,172,70.1
0,20,159,63.2
0,19,165,64.9
1,23,180,79.5
1,20,176,77.2
1,20,190,92.4
0,21,154,58
0,26,168,73.6
1,20,188,83.8
1,21,164,66.5
0,21,155,65.5
0,23,154,60.8
0,47,147,60.6
1,22,170,69.8
1,24,186,87.3
0,22,149,57.7
1,19,176,74.5
1,22,190,92.4
0,57,157,66.4
1,22,186,82.8
1,23,189,86.8
1,23,184,85.5
0,24,157,62.5
1,20,184,82.9
0,21,164,69.5
0,21,167,71.5
0,21,146,56.7
1,23,185,82.8
0,20,154,60.2
1,23,172,71.9
1,21,178,75.9
0,19,164,64.8
1,22,178,78.6
1,22,175,69.9
0,21,145,61
1,21,171,72.5
1,22,175,72.9
1,19,200,105.7
0,20,168,74.3
0,19,162,70.2
0,27,156,64.8
0,22,162,67.4
1,21,174,70.2
0,22,152,62.6
1,22,195,95.9
1,20,187,86.1
1,22,181,79.6
1,22,186,82.1
1,21,180,78.8
1,20,186,82.9
0,20,148,56.4
0,22,164,68.5
1,23,172,70
0,23,181,82.8
1,19,176,73.8
0,23,162,65.8
0,22,173,71.7
0,23,168,70.9
1,23,196,96.7
0,20,163,64.8
0,22,177,72.7
1,23,184,80.8
1,21,182,83.3
0,21,161,60.6
0,21,165,69.4
1,24,181,80.2
0,19,170,69
0,22,175,76.6
1,20,186,84.8
0,24,172,73.5
1,20,195,98.3
0,54,154,65.8
1,20,180,76.3
1,21,186,82.2
1,20,189,83.5
1,18,176,74.9
0,22,168,70.1
1,24,184,82
1,22,174,73
0,22,154,63
1,18,174,74.3
0,21,163,61.5
0,24,156,64.3
1,18,186,85.3
0,19,172,69.2
0,21,157,60.6
0,19,174,70.3
1,25,161,68.2
1,22,178,77.7
0,30,168,69.4
1,22,181,76.3
0,22,161,66.3
0,22,169,68.6
0,20,165,66.6
0,22,174,71.6
1,22,178,76.2
0,23,167,67.7
0,21,151,58
0,20,160,68.3
0,20,153,57.4
1,21,176,76.1
1,21,195,94.4
1,21,174,74.4
1,23,177,76.2
0,23,165,68.6
1,23,162,64.3
0,24,166,69
1,53,178,78.4
1,20,186,82.2
1,22,172,77
0,62,165,66.9
1,22,186,82.1
1,21,188,81.9
1,18,182,77.1
1,20,180,77.2
1,19,176,73.9
1,23,189,89.9
0,24,164,71
0,32,167,65.7
0,23,150,58.3
0,21,153,60.4
1,42,194,101.1
0,19,154,63.2
1,26,175,75.5
0,24,164,70.9
0,21,160,67.4
1,24,187,84.1
0,58,177,74.9
1,18,174,74
0,20,178,77
0,21,163,67.3
1,22,185,79.2
0,21,162,64.5
1,25,170,74.1
1,19,181,82.1
1,24,172,70.8
0,18,179,79.4
1,20,186,80.7
0,24,160,60.6
0,20,171,70.6
0,20,156,62.4
0,20,172,72.6
1,20,178,79.8
1,21,187,86.5
0,21,158,64.5
1,21,174,72.3
1,20,192,91
1,20,183,79.9
1,26,172,74.5
1,18,184,83.1
1,29,184,80.3
1,20,183,79
0,21,160,62.5
1,21,182,79.1
0,25,181,81.5
0,22,163,66.9
0,20,152,61.2
0,21,169,73.8
1,18,178,76.1
0,20,176,77.9
1,22,174,74.4
1,21,181,82.1
0,22,164,63.9
0,24,161,63.3
1,43,182,82
1,61,170,70.3
1,19,171,70.3
0,19,157,68.8
1,20,170,64.2
0,23,167,64.1
1,23,178,76.4
0,19,154,63.3
1,20,185,82.2
0,22,165,67.9
0,19,160,65.3
1,25,160,64.8
1,21,171,71.1
0,21,153,59.8
0,21,172,77
0,20,155,62
1,21,182,78.2
0,19,159,65.8
0,23,160,65.2
1,20,189,85.5
1,21,178,77.1
1,18,181,81.6
1,25,179,78.5
0,20,166,67.3
0,23,164,67.2
0,21,154,61.9
1,27,189,86.5
1,19,182,79.4
0,19,159,63.7
0,23,160,71.4
1,21,180,78.7
1,20,185,85.7
0,21,152,54.6
0,23,165,62.6
0,26,160,68.2
0,23,159,64.9
0,20,168,66.4
1,24,169,68.4
1,20,190,87.3
0,21,157,63.1
1,49,193,92
1,19,178,76.2
1,18,178,80.5
1,22,178,75.5
0,20,158,66.7
0,21,160,61.4
1,21,181,79.2
1,23,194,95.7
1,21,186,84.3
1,23,178,77.8
0,36,172,72.5
0,19,161,66.8
0,19,161,64.2
0,23,158,65.7
0,23,175,70.7
0,22,171,68.7
1,19,183,77.2
0,21,169,65.3
1,21,176,75.9
1,22,178,77.4
0,23,162,59.8
0,21,155,61.5
0,25,169,69.9
0,23,178,73.1
1,49,174,72.1
1,22,179,75.6
1,23,185,80.1
0,19,154,63.6
0,19,178,76.4
1,23,173,77
0,22,178,79
1,21,173,69.1
1,22,179,74.8
0,23,164,64.1
1,23,165,73.8
0,27,162,65
0,19,173,72.6
1,23,172,72.8
0,21,168,70.8
1,23,164,67.7
1,22,180,75.8
0,21,175,78.9
1,22,166,63.9
0,21,156,62.9
0,20,166,69.2
1,21,196,91.4
1,25,179,77.2
1,21,194,99.1
0,21,170,67.5
1,22,178,77.8
0,22,157,63.9
0,23,159,66.4
0,25,158,64.2
1,24,199,101.5
1,34,182,83.2
1,22,189,91.5
1,19,174,77.3
0,18,162,63
0,21,169,70.1
0,22,162,68.3
0,20,176,76.5
0,24,145,57.8
0,21,163,68.4
0,25,164,66.1
1,22,176,75
0,22,160,65.6
0,18,164,69.1
1,21,183,81.5
0,21,163,63.9
0,23,166,66.1
1,22,177,74.7
0,60,179,76.2
0,35,167,73.6
0,21,153,59
0,21,166,68.3
0,21,183,82.9
1,19,176,76
1,25,194,98.6
0,21,172,75.2
1,20,184,82
1,21,185,84.5
1,25,180,76.5
0,22,157,62.9
0,22,159,63
1,21,195,97.9
1,22,193,90.8
1,23,188,90.5
0,20,165,67.3
0,19,153,60.1
1,19,186,82.4
0,23,175,76.1
0,54,172,71.6
1,20,177,76.7
1,25,172,73.7
0,24,162,59.8
1,21,176,74.2
0,19,170,70.4
0,21,180,82.4
1,24,188,88.2
0,20,159,60.7
1,21,182,77.9
1,21,181,79.7
1,21,185,84.2
1,23,173,76.4
1,22,171,68.8
